,S5INFT Index,S5FINL Index,S5HLTH Index,S5COND Index,S5TELS Index,S5INDU Index,S5CONS Index,S5ENRS Index,S5MATR Index,S5UTIL Index,S5RLST Index
8/16/2023,2945.89,567.22,1566.51,1308.55,222.18,903.49,770.97,661.8,509.56,320.63,227.96
8/17/2023,2917.48,564.39,1554.53,1287.833,220.87,895.89,763.15,669.15,508.63,319.56,226.26
8/18/2023,2920.74,563.68,1554.39,1283.672,218.7,896.96,765.98,675.43,508.2,320.8,226.89
8/21/2023,2986.82,563.17,1555.86,1298.403,220.46,895.72,761.08,671.21,508.31,318.89,224.9
8/22/2023,2979.6,558.22,1550.13,1299.579,220.85,893.9,757.05,666.07,507.91,319.73,225.53
8/23/2023,3036.8,563.42,1554.7,1310.369,225.05,902.79,761.79,664.05,508.83,321.18,228.83
8/24/2023,2971.46,562.06,1542.82,1284.072,220.47,891.79,755.92,659.12,506.62,319.15,227.89
8/25/2023,2995.81,563.99,1552.14,1298.212,220.84,899.43,760.16,666.18,507.99,321.65,228.5
8/28/2023,3020.2,567.31,1555.76,1302.979,223.16,906.49,763.63,671.02,511.73,321.52,230.27
8/29/2023,3083.96,572.28,1568.67,1333.64,228.65,913.52,766.77,673.02,520.31,322.42,232.92
8/30/2023,3109.67,572.97,1568.21,1338.039,229.46,917.54,768.11,676.45,521.1,321.05,233.73
8/31/2023,3121.19,570.68,1549.31,1344.813,229.72,912.89,763.99,677.49,520.84,317.74,231.96
9/1/2023,3128.21,575.27,1552.95,1337.524,228.48,917.58,757.65,691.39,526.13,316.1,231.8
9/5/2023,3140.43,569.76,1538.28,1336.362,228.58,902.08,751.36,694.76,516.63,311.22,229.6
9/6/2023,3097.26,568.79,1528.93,1323.382,227.34,897.77,749.91,695.76,514.9,311.85,229.07
9/7/2023,3048.62,567.66,1536.18,1330.023,227.59,894.94,752.45,694.25,512.62,315.79,230.7
9/8/2023,3054.92,569,1535.49,1330.463,228.39,890.79,753.62,700.97,513.26,318.83,229.25
9/11/2023,3068.78,571.1,1545.94,1367.309,231.06,890.73,759.88,691.75,515.4,319.9,229.3
9/12/2023,3015.2,575.94,1543.35,1355.072,228.61,887.43,754.5,707.71,514.14,320.31,229.22
9/13/2023,3024.55,575.36,1543.72,1367.222,229.52,881.52,756.43,702.32,511.09,324.17,226.86
9/14/2023,3045.82,580.37,1547.62,1379.214,232.23,890.21,762.61,711.19,518.25,328.95,230.74
9/15/2023,2986.56,577.18,1536.19,1353.311,229.65,885.46,756.39,701.84,512.61,327.33,229.57
9/18/2023,3000.66,579,1533.43,1339.683,230.26,886.46,757.03,706.64,510.41,327.16,227.7
9/19/2023,2998.35,578.36,1534.89,1331.012,230.28,882.34,755.14,700.75,509.91,325.37,226.43
9/20/2023,2945.21,574.53,1535.17,1316.468,225.93,878.91,756.31,694.06,504.66,325.71,226.72
9/21/2023,2900.48,565.24,1521.02,1278.565,222.44,864.62,746.41,684.42,494.34,322.19,218.83
9/22/2023,2908.04,561.05,1518.09,1267.4,222.24,861.67,742.89,685.48,493.72,321.67,217.26
9/25/2023,2921.63,561.9,1526.27,1275.842,223.09,865.64,739.72,694.25,497.67,321.04,216.89
9/26/2023,2869.64,554.36,1513.1,1249.977,220.09,852.5,733.06,690.76,490.44,311.26,213.03
9/27/2023,2874.46,553.24,1505.61,1245.242,221.27,859,727.42,708.08,490.52,305.25,211.27
9/28/2023,2894.2,557.08,1512.8,1257.299,223.84,862.66,729.21,708.16,495.65,298.58,213.07
9/29/2023,2905.56,552.16,1501.22,1263.996,222.21,857.57,727.36,694.19,494.54,299.2,213.82
10/2/2023,2944.16,547.53,1499.6,1267.5988,225.47,849.73,722.67,680.95,488.08,285.09,210.08
10/3/2023,2890.63,538.38,1485.96,1234.724,222.32,843.45,717.62,680.8,486.63,288.42,206.09
10/4/2023,2926.8,542.83,1492.7,1259.1003,225.17,846.68,722.87,657.91,492.44,288.17,208.42
10/5/2023,2934.14,544.91,1500.08,1251.9535,224.89,841.3,707.91,654.09,486.23,286.59,209.82
10/6/2023,2991.1,549.36,1515.28,1260.715,228.99,852.5,704.51,656.79,490.89,290.51,210.54
10/9/2023,3003.98,549.55,1520.7,1262.976,231.17,866.19,704.98,680.01,491.61,293.44,213.27
10/10/2023,3008.59,553.79,1528.21,1276.751,231.67,871.17,712.57,679.89,496.92,297.42,213.92
10/11/2023,3038.92,554.41,1521.7,1282.902,234.15,876.6,708.01,670.72,498.08,302.27,218.23
10/12/2023,3042.1,550.92,1507.53,1270.663,231.56,868.42,699.88,671.31,490.53,297.75,215.38
10/13/2023,2995.79,552,1516.76,1252.156,228.5,860.99,705.78,686.44,488.74,301,215.3
10/16/2023,3025.04,557.61,1528.16,1272.815,231.86,870.04,712.68,690.94,493.24,304.15,217.5
10/17/2023,3001.63,560.69,1526.17,1273.586,232.85,872.77,716.29,697.7,498.22,303.42,216.33
10/18/2023,2964.73,551.15,1512.5,1243.933,229.16,851.56,719.09,704.21,485.38,300.57,211.61
10/19/2023,2951.79,544.27,1497.94,1216.55,229.91,843.88,713.52,703.32,480.13,297.76,206.44
10/20/2023,2901.99,535.85,1492.01,1196.393,227.26,835.2,710.82,691.1,473.96,294.62,205.32
10/23/2023,2914.17,532.04,1482.61,1198.953,228.9,831.32,708.88,679.91,468.88,292.2,203.59
10/24/2023,2934.84,535.62,1486.89,1211.393,232.07,837.28,715.66,670.27,474.16,299.72,206.01
10/25/2023,2900.01,534.02,1473.55,1182.293,218.4,826.65,717.99,669.21,468.75,301.18,201.75
10/26/2023,2837.05,532.86,1459.17,1163.811,212.77,822.99,713.48,663.88,472.11,303.77,206.09
10/27/2023,2853.48,522.93,1434.27,1183.569,212.97,815.8,703.8,648.58,471.83,298.27,202.79
10/30/2023,2887.42,531.85,1442.11,1198.529,217.36,825.79,714.73,650.56,476.48,300.29,203.41
10/31/2023,2903.54,537.67,1451.16,1207.028,217.76,832.11,717.39,652.01,478.64,302.87,207.55
11/1/2023,2963.95,541.07,1453.86,1224.347,221.76,834.83,716.98,649.85,479.1,306.19,208.61
11/2/2023,3014.77,554.06,1476.63,1253.7,223.78,851.96,725.98,670.03,488.32,311.97,215.06
11/3/2023,3048.66,561.39,1484.19,1268.856,226.89,858.95,726.66,663.24,495.88,313.83,220.12
11/6/2023,3072.54,559.22,1494.01,1271.197,227.26,856.73,727.93,655.32,493.33,312.95,217.01
11/7/2023,3105.82,558.52,1494.7,1286.301,228.51,854.53,729.45,640.68,484.1,310.66,215.11
11/8/2023,3125.63,558.88,1492.6,1283.036,228.77,856.86,726.37,632.87,485.34,308.38,216.35
11/9/2023,3113,556.59,1461.25,1259.719,228.08,854.76,723.45,631.14,481.23,304.11,213.09
11/10/2023,3193.75,562.95,1469.99,1280.591,231.9,866.21,728.23,637.88,486.8,305.68,215.43
11/13/2023,3176.59,562.07,1478.3,1284.309,231.45,867.01,730.89,642.39,486.12,301.89,213.66
11/14/2023,3237.46,573,1488.62,1326.911,234.73,884.71,737.43,645.88,500.27,313.79,225.03
11/15/2023,3234.96,576.27,1489.59,1326.389,236.13,886.47,742.58,643.71,502.62,312.75,225.4
11/16/2023,3256.9,578.13,1495.29,1314.317,238.36,885.93,733.69,630.13,503.85,314.16,225.47
11/17/2023,3247.72,581.31,1492.44,1323.931,237.25,891.12,732.38,643.5,504.69,314.76,225.03
11/20/2023,3296.49,583.2,1500.21,1330.783,239.74,894.01,732.32,644.25,505.47,313.79,226.81
11/21/2023,3268.99,582.98,1509.34,1325.777,239.71,893.54,734.9,642.91,507.47,314.48,225.74
11/22/2023,3278.09,585.27,1517.49,1332.358,241.83,895.24,740.11,642.21,508.07,315.54,226.57
11/24/2023,3267.66,587.2,1525.24,1334.139,240.22,897.82,742.94,645.08,509.8,316.5,227.39
11/27/2023,3269.1,585.54,1515.55,1336.706,239.08,892.65,741.16,642.52,509.33,316.8,228.25
11/28/2023,3275.35,584.95,1507.92,1343.9,239.86,890.49,744.14,642.89,510.33,317.79,229.43
11/29/2023,3275.7,589.09,1508.21,1339.137,237.17,893.39,738.13,637.21,512.25,315.29,231.11
11/30/2023,3273.08,595.09,1527.1,1336.907,234.77,902.92,744.26,641.28,517.2,316.57,233.02
12/1/2023,3278.62,599.47,1532.57,1353.935,234.23,917.07,747.05,644.36,522.84,320.51,237.93
12/4/2023,3235.71,599.46,1535.76,1347.653,231.02,918.95,747.79,641.4,516.63,319.25,239.2
12/5/2023,3262.11,596.43,1533.18,1351.918,231.53,911.04,741.87,630.48,509.54,316.65,238.12
12/6/2023,3231.75,593.43,1534.12,1351.435,230.45,915.35,740.2,620.13,508.74,321.02,237.31
12/7/2023,3273.2,595.82,1532.92,1363.541,237.87,915.94,742.59,616.35,512.15,320.25,237.53
12/8/2023,3302.74,598.79,1535.68,1369.429,237.5,918.97,737.75,623.22,513.85,319.56,236.99
12/11/2023,3316.6,602.87,1545.1,1371.134,235.02,927.24,744.87,623.99,517.5,321.68,237.76
12/12/2023,3344.07,607.17,1552.29,1376.601,235.48,931.51,747.17,615.54,520.43,320.37,237.65
12/13/2023,3373.84,616.93,1580.62,1395.22,237.02,942.14,760.76,623.23,526.66,332.28,246.15
12/14/2023,3362.37,622.67,1571.96,1410.218,236.92,953.7,749.45,641.58,535.49,328.04,252.61
12/15/2023,3386.07,620.17,1558.59,1416.962,237.27,951.8,749.43,638.29,534.42,322.36,249.47
12/18/2023,3395.14,621.04,1561.53,1428.181,241.75,952.49,757.52,643.17,534.74,321.4,248.59
12/19/2023,3403.3,625.85,1571.98,1438.2,243.98,959.43,759.22,651.04,539.63,323.21,250.32
12/20/2023,3350.76,615.11,1549.01,1413.106,243.85,943.72,743.89,644.74,531.67,316.81,247.03
12/21/2023,3386.8,620.49,1567.63,1433.496,246.58,953.77,749.01,647.26,537.07,317.22,249.3
12/22/2023,3388.11,621.91,1575.27,1424.208,247,957.94,754.16,648.91,540.47,318.28,250.1
12/26/2023,3401.61,624.43,1578.69,1429.188,247.55,964.9,757.5,654.57,542.87,320.34,252.06
12/27/2023,3402.42,625.93,1586.03,1432.994,247.02,966.59,760.86,651.12,544.23,319.96,253.22
12/28/2023,3406.64,628.1,1589.86,1427.136,247.24,966.65,761.08,641.58,541.72,322.21,254.57
12/29/2023,3397.16,626.35,1590.36,1418.085,246,964.73,762.32,640.05,539.62,321.92,251.58
1/2/2024,3309.49,628.79,1618.4,1405.009,243.76,955.58,771.02,647.67,538.56,326.37,253.92
1/3/2024,3275.73,623.67,1616.21,1378.565,244.01,941.16,765.53,657.5,532.58,327.65,247.95
1/4/2024,3254.64,625.14,1623.72,1365.244,242.32,942.06,764.4,646.81,530.82,326.58,247.28
1/5/2024,3259.48,628.43,1623.32,1369.16,243.15,944,762.55,647.23,531.94,327.84,246.8
1/8/2024,3348.98,632.18,1636.96,1393.36,247.39,949.5,767.99,639.69,534.14,330.21,250.33
1/9/2024,3357.51,627.82,1637.63,1391.475,247.71,947.2,769.84,629.29,528.28,327.71,248.49
1/10/2024,3391.17,629.12,1644.44,1405.163,250.6,951.74,768.87,622.93,527.38,327.5,248.82
1/11/2024,3406.05,626.52,1642.58,1404.746,249.96,949.83,768.72,623.93,525.68,319.82,246.44
1/12/2024,3417.85,625.08,1637.75,1390.054,251.52,949.41,771.38,631.77,526.4,321.7,248.37
1/16/2024,3431.18,621.11,1628.69,1387.225,250.46,940.11,767.65,616.6,520.16,318.32,246.85
1/17/2024,3414.11,619.37,1624.75,1374.594,248.87,933.81,766.7,611.42,515.99,313.48,242.23
1/18/2024,3483.46,620.78,1624.94,1383.0865,252.31,946.33,765.87,610.09,518.02,310.18,240.75
1/19/2024,3565.21,630.96,1625.99,1397.23,256.42,952.12,763.37,612.33,518.55,309.79,243.07
1/22/2024,3578.98,633.67,1632.17,1389.985,256.51,959.18,759.82,614.12,520.09,308.19,244.14
1/23/2024,3595.13,634.58,1631.3,1388.007,259.07,958.62,768.01,616.19,521.76,308.9,242.9
1/24/2024,3622.85,637.5,1616.48,1384.654,262.11,952.46,758.56,625.02,514.46,304.64,239.6
1/25/2024,3636.54,640.93,1612.81,1370.131,266.92,961.74,765.57,638.97,520.08,310.09,242.73
1/26/2024,3598.29,642.82,1622.26,1377.669,268,960.37,769.72,643.85,520.05,311.1,241.83
1/29/2024,3633.14,644.76,1633.36,1396.544,270.38,966.47,773.75,642.53,522.74,313.09,243.47
1/30/2024,3606.16,652.47,1637.4,1393.507,268.46,966.92,778.06,649.04,525.07,312.97,241.25
1/31/2024,3529.92,644.54,1635.58,1367.699,257.91,955.86,772.8,636.73,518.41,312.07,239.54
2/1/2024,3578.75,645.13,1656.3,1394.727,260.17,972.12,788.04,636.32,527.02,317.95,243.73
2/2/2024,3625.92,648.01,1654.34,1429.552,272.38,978.44,786.09,637.35,524.02,312.21,240.65
2/5/2024,3647.11,644.03,1659.46,1410.745,270.16,973.18,781.41,635.86,510.79,305.87,235.85
2/6/2024,3629.6,645.85,1677.47,1415.988,269.6,981.85,783.19,637.9,519.5,306.82,239.37
2/7/2024,3681.64,650.32,1681.82,1431.916,272.1,988.17,782.59,638.95,523.71,306.98,239.23
2/8/2024,3686.9,647.11,1678.93,1436.109,273.16,988.7,782.31,645.9,522.74,304.44,240.58
2/9/2024,3742.2,649.17,1678,1450.308,275.17,989.85,775.65,635.81,524.12,305.72,241.26
2/12/2024,3713.25,651.87,1679.64,1446.306,274.67,991.07,780.57,642.49,527.95,309.22,240.37
2/13/2024,3655.37,643.54,1665.05,1417.957,270.98,981.04,772.89,635.13,520.5,304,235.96
2/14/2024,3695.41,649.73,1678.5,1432.441,274.82,997.44,771.4,634.03,523.94,305.64,237.62
2/15/2024,3679.31,660.49,1690.3,1445.113,275.03,1004.31,775.57,649.74,533.78,310.36,243.23
2/16/2024,3650.21,658.55,1695.12,1439.108,270.73,998.28,776.82,649.59,536.49,309.85,240.82
2/20/2024,3603.96,656.11,1688.33,1424.645,270.43,994.74,785.59,643.4,535.28,309.43,240.39
2/21/2024,3576.44,658.16,1692.77,1434.946,270.96,998.9,787.84,655.35,538.34,313.65,242.12
2/22/2024,3731.99,666.89,1713.18,1466.324,275.32,1011.01,790.78,656.15,543.52,311.22,242.71
2/23/2024,3721.99,669.07,1720.8,1461.272,274.75,1016.05,793.18,652.35,546.67,313.42,242.95
2/26/2024,3723.21,665.97,1712.11,1464.585,269.01,1014.9,790.88,654.45,543.46,306.83,240.18
2/27/2024,3725.61,667.74,1707.44,1467.355,271.77,1016.07,790.75,651.63,545.37,312.64,240.27
2/28/2024,3705.1,670.11,1698.75,1472.044,269.27,1019.07,791.46,650.33,546.58,313.58,243.35
2/29/2024,3748.57,670.05,1686.41,1485.305,272.5,1022.56,789.2,653.14,550.91,313.71,245.41
3/1/2024,3815.25,668.58,1702.79,1491.024,273.9,1026.2,788.91,660.81,553.03,311.46,248.07
3/4/2024,3823.11,670.1,1700.53,1472.029,269.75,1030.14,789.81,653.65,556.9,316.59,250.72
3/5/2024,3739.56,670.94,1687.01,1452.746,267.67,1021.62,792.53,658.51,553.97,315.76,247.62
3/6/2024,3773.64,673.66,1698.98,1447.083,267.21,1026.69,798.89,660.77,558.1,318.81,248.98
3/7/2024,3844.99,672.67,1707.3,1459.656,272.12,1035.18,802.83,665.91,564.93,320.74,248.86
3/8/2024,3774.23,673.97,1703.26,1452.394,272.12,1032.45,796.14,668.5,561.79,321.41,251.68
3/11/2024,3760.03,675.28,1702.36,1445.241,271.49,1027.02,800.76,675.18,568.16,323.05,250.45
3/12/2024,3855.48,678.3,1710.55,1459.589,274.68,1031.69,805.84,674.11,567.83,319.84,249.54
3/13/2024,3813.85,682.18,1703.6,1458.025,275.11,1034.2,806.88,684.35,572.99,321.94,248.03
3/14/2024,3809.48,677.32,1696.29,1451.685,276.62,1029.71,800.6,691.9,569.81,319.33,244.04
3/15/2024,3760.29,676.95,1690.34,1435.101,273.37,1030.54,799.72,693.48,570.26,319.7,243.82
3/18/2024,3779.31,680.31,1689.97,1443.979,281.45,1032.26,806.26,696.43,571.21,321.18,243.78
3/19/2024,3803.42,683.61,1701.26,1456.415,280.97,1040.77,809.1,703.95,571.37,324.13,243.79
3/20/2024,3847.26,692.1,1697.3,1477.585,284.52,1053.4,810.99,703.32,576.94,324.55,244.73
3/21/2024,3852.51,697.98,1699.25,1484.431,284.03,1063.94,811.31,707.12,579.25,323.87,245.79
3/22/2024,3869.95,689.52,1696.81,1475.132,286.45,1060.31,806.75,705.67,575.83,324.34,242.74
3/25/2024,3849.92,687.54,1694.13,1471.973,285.45,1053.05,804.58,712.08,575.98,325.83,241.73
3/26/2024,3820.6,688.93,1699.89,1471.294,284.84,1049.22,805.07,706.69,575.35,322.12,240.64
3/27/2024,3825.31,697.35,1722.04,1487.532,285.16,1066,812.84,713.36,583.63,330.99,246.46
3/28/2024,3821.05,701.32,1723.97,1485.487,284.29,1066.71,814.23,721.24,585.16,333.49,248.16
4/1/2024,3829.66,696.94,1708.85,1476.472,288.43,1058.31,807.99,726.95,583.67,331.34,243.76
4/2/2024,3792.67,693.84,1681.16,1457.635,288.69,1052.8,803.36,736.9,581.3,331.9,241.03
4/3/2024,3796.72,693.27,1679.47,1460.799,290.73,1058.21,794.53,741.76,584.94,330.52,241.17
4/4/2024,3731.27,685.17,1655.96,1443.885,286.68,1049.14,790.75,741.34,579.01,329.86,239.3
4/5/2024,3782.91,691.31,1671.02,1457.52,291.3,1064.12,792.47,749.39,584.35,331.02,240.85
4/8/2024,3770.94,693.99,1664.63,1468.414,291.23,1061.84,791.04,744.69,584.53,333.14,242.82
4/9/2024,3776.8,690.49,1671.07,1475.209,291.54,1059.47,795.11,745.11,586.08,334.98,245.95
4/10/2024,3748.77,680.14,1651.9,1457.613,290.89,1050.6,792.37,747.94,577,329.18,235.87
4/11/2024,3837.39,676.18,1643.79,1471.252,294.21,1051.71,790.16,746.47,576.4,328.5,235.93
4/12/2024,3774.45,666.45,1618.87,1447.581,289.83,1040.47,782.99,734.96,566.21,326.08,233.47
4/15/2024,3699.34,663.05,1615.76,1424.1507,285.12,1032.92,779.45,728.34,563.42,323.11,229.33
,,,,,,,,,,,
